"num"	"u_0.05"	"u_0.1"	"u_0.2"	"u_0.3"	"o_0.05"	"o_0.1"	"o_0.2"	"o_0.3"	"GOS"	"genes"
"1"	1	6	9	25	30	9	12	14	15	2206	80
"2"	2	0	0	5	13	5	6	6	8	856	38
"3"	3	163	185	227	250	25	27	27	34	380	24
"4"	4	0	0	1	1	0	0	0	2	26	1
"5"	5	0	0	1	4	0	0	0	1	28	1
"6"	6	0	0	0	1	8	17	25	33	214	4
"7"	7	1	2	2	3	3	8	12	18	239	10
"8"	8	2	3	5	8	26	48	71	87	621	12
"9"	9	0	0	1	2	21	25	28	31	572	24
"10"	10	0	0	0	0	6	7	9	18	546	22
"11"	11	2	2	5	12	12	13	13	15	148	5
"12"	12	0	0	0	0	8	14	20	20	191	3
"13"	13	0	0	0	0	9	10	18	21	352	7
"14"	14	6	11	16	23	14	22	23	26	134	5
"15"	15	0	0	0	0	41	54	84	99	365	6
"16"	16	0	2	2	2	0	0	2	4	79	3
"17"	17	0	0	0	0	12	17	17	17	64	2
"18"	18	0	0	0	0	0	0	5	7	50	1
"19"	19	1	2	4	5	7	9	9	9	46	2
"20"	20	0	0	0	3	0	0	0	7	38	1
"21"	21	0	0	0	2	0	1	2	4	191	8
"22"	22	0	0	0	1	3	3	3	3	42	2
"23"	23	0	0	0	0	0	0	0	9	58	1
"24"	24	0	0	0	0	1	1	1	1	50	2
"25"	25	0	0	0	0	1	2	2	3	132	2
"26"	26	0	0	0	0	0	0	1	2	58	1
"27"	27	0	0	0	0	0	1	2	2	47	1
"28"	28	0	0	0	0	7	9	19	21	224	4
"29"	29	8	15	23	33	18	22	24	25	31	2
"30"	30	0	0	0	0	0	0	0	2	23	1
"31"	31	0	0	0	0	1	3	4	8	117	3
"32"	32	0	3	4	5	1	1	1	1	22	1
"33"	33	0	1	2	2	0	0	0	0	19	1
"34"	34	0	0	0	0	0	0	0	0	23	1
"35"	35	0	0	2	3	0	3	3	8	30	1
"36"	36	0	0	4	6	0	0	0	0	27	1
"37"	37	0	0	0	3	0	0	0	0	7	1
"38"	38	0	0	0	0	0	0	0	0	15	1
"39"	39	0	0	0	1	0	0	2	3	21	1
"40"	40	0	0	0	0	0	0	3	4	22	1
"41"	41	0	0	0	0	0	0	1	1	63	1
"42"	42	0	0	0	0	0	0	0	0	38	1
"43"	43	0	0	0	0	0	0	0	2	78	1
"44"	44	0	2	5	6	0	2	2	2	59	2
"45"	45	0	0	0	0	0	0	0	0	52	1
"46"	46	0	0	0	0	0	0	0	0	76	3
"47"	47	2	2	6	7	0	0	0	0	26	1
"48"	48	0	0	2	3	0	0	0	0	52	1
"49"	49	0	0	1	1	0	0	2	4	25	1
"50"	50	0	0	0	1	0	0	0	0	16	1
